             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.6701040        0.190000          285.58          148.58         0.04113            0.84    1.006+0.000j
      4.6701040        0.200000          277.53          140.66         0.04123            0.93    1.007+0.000j
      4.6701040        0.210000          269.81          133.14         0.04132            1.02    1.043+0.000j
      4.6701040        0.220000          262.42          125.99         0.04138            1.11    1.060+0.000j
      4.6701040        0.230000          255.37          119.28         0.04148            1.20    1.000+0.000j
      4.6701040        0.240000          248.66          112.90         0.04156            1.28    1.001+0.000j
      4.6701040        0.250000          242.28          106.93         0.04162            1.36    1.006+0.000j
      4.6701040        0.260000          236.23          101.27         0.04169            1.45    1.001+0.000j
      4.6701040        0.270000          230.51           95.96         0.04175            1.54    1.003+0.000j
      4.6701040        0.280000          225.12           90.97         0.04181            1.62    1.001+0.000j
      4.6701040        0.290000          220.05           86.32         0.04185            1.69    1.007+0.000j
      4.6701040        0.300000          215.30           81.93         0.04190            1.76    1.004+0.000j
      4.6701040        0.310000          210.87           77.75         0.04198            1.85    1.004+0.000j
      4.6701040        0.320000          206.74           73.87         0.04202            1.89    1.007+0.000j
      4.6701040        0.330000          202.92           70.20         0.04209            2.00    1.000+0.000j
      4.6701040        0.340000          199.40           66.75         0.04218            2.09    1.006+0.000j
      4.6701040        0.350000          196.18           63.56         0.04219            2.16    1.043+0.000j
      4.6701040        0.360000          193.25           60.50         0.04224            2.24    1.047+0.000j
      4.6701040        0.370000          190.61           57.68         0.04229            2.32    1.001+0.000j
      4.6701040        0.380000          188.25           55.01         0.04234            2.40    1.009+0.000j
      4.6701040        0.390000          186.16           52.49         0.04240            2.48    1.006+0.000j
      4.6701040        0.400000          184.36           50.12         0.04244            2.54    1.007+0.000j
      4.6701040        0.410000          182.82           47.90         0.04250            2.64    1.000+0.000j
      4.6701040        0.420000          181.55           45.80         0.04255            2.73    1.043+0.000j
      4.6701040        0.430000          180.55           43.82         0.04257            2.81    1.004+0.000j
      4.6701040        0.440000          179.80           41.97         0.04266            2.89    1.028+0.000j
      4.6701040        0.450000          179.32           40.23         0.04271            3.00    1.035+0.000j
      4.6701040        0.460000          179.08           38.57         0.04277            3.09    1.000+0.000j
      4.6701040        0.470000          179.10           37.02         0.04283            3.19    1.022+0.000j
      4.6701040        0.480000          179.37           35.56         0.04287            3.29    1.001+0.000j
      4.6701040        0.490000          179.88           34.18         0.04291            3.38    1.022+0.000j
      4.6701040        0.500000          180.63           32.89         0.04297            3.52    1.002+0.000j
      4.6701040        0.510000          181.63           31.66         0.04304            3.60    1.002+0.000j
      4.6701040        0.520000          182.86           30.51         0.04310            3.70    1.001+0.000j
      4.6701040        0.530000          184.32           29.41         0.04316            3.83    1.002+0.000j
      4.6701040        0.540000          186.02           28.42         0.04320            3.94    1.001+0.000j
      4.6701040        0.550000          187.94           27.43         0.04327            4.03    1.064+0.000j
      4.6701040        0.560000          190.10           26.51         0.04334            4.17    1.009+0.000j
      4.6701040        0.570000          192.48           25.64         0.04340            4.29    1.031+0.000j
      4.6701040        0.580000          195.08           24.82         0.04354            4.49    1.000+0.000j
      4.6701040        0.590000          197.90           24.06         0.04355            4.55    1.122+0.000j
      4.6701040        0.600000          200.94           23.33         0.04358            4.67    1.007+0.000j
      4.6701040        0.610000          204.20           22.67         0.04366            4.81    1.004+0.000j
      4.6701040        0.620000          207.67           22.02         0.04373            4.97    1.100+0.000j
      4.6701040        0.630000          211.36           21.42         0.04374            5.05    1.005+0.000j
      4.6701040        0.640000          215.25           20.85         0.04390            5.25    1.001+0.000j
      4.6701040        0.650000          219.36           20.31         0.04391            5.37    1.000+0.000j
      4.6701040        0.660000          223.66           19.80         0.04397            5.52    1.006+0.000j
      4.6701040        0.670000          228.18           19.33         0.04404            5.68    1.000+0.000j
      4.6701040        0.680000          232.89           18.88         0.04411            5.83    1.000+0.000j
      4.6701040        0.690000          237.81           18.46         0.04418            5.99    1.009+0.000j
      4.6701040        0.700000          242.92           18.07         0.04424            6.15    1.003+0.000j
      4.6701040        0.710000          248.22           17.69         0.04430            6.31    1.013+0.000j
      4.6701040        0.720000          253.73           17.34         0.04438            6.48    1.011+0.000j
      4.6701040        0.730000          259.42           17.01         0.04447            6.69    1.077+0.000j
      4.6701040        0.740000          265.30           16.71         0.04452            6.84    1.004+0.000j
      4.6701040        0.750000          271.37           16.43         0.04459            7.00    1.001+0.000j
      4.6701040        0.760000          277.62           16.17         0.04466            7.18    1.000+0.000j
      4.6701040        0.770000          284.06           15.92         0.04473            7.37    1.024+0.000j
      4.6701040        0.780000          290.68           15.69         0.04480            7.55    1.001+0.000j
      4.6701040        0.790000          297.47           15.48         0.04487            7.75    1.004+0.000j
      4.6701040        0.800000          304.45           15.28         0.04494            7.93    1.001+0.000j
      4.6701040        0.810000          311.59           15.09         0.04499            8.16    1.001+0.000j
      4.6701040        0.820000          318.91           14.92         0.04507            8.31    1.016+0.000j
      4.6701040        0.830000          326.40           14.77         0.04515            8.51    1.000+0.000j
      4.6701040        0.840000          334.06           14.64         0.04521            8.67    1.003+0.000j
      4.6701040        0.850000          341.88           14.51         0.04529            8.92    1.000+0.000j
      4.6701040        0.860000          349.87           14.40         0.04538            9.15    1.050+0.000j
      4.6701040        0.870000          358.02           14.30         0.04544            9.35    1.003+0.000j
      4.6701040        0.880000          366.32           14.21         0.04551            9.56    1.002+0.000j
      4.6701040        0.890000          374.78           14.13         0.04558            9.78    1.003+0.000j
      4.6701040        0.900000          383.40           14.06         0.04566            9.98    1.001+0.000j
      4.6701040        0.910000          392.17           14.00         0.04572           10.20    1.001+0.000j
      4.6701040        0.920000          401.09           13.96         0.04580           10.43    1.000+0.000j
      4.6701040        0.930000          410.15           13.93         0.04587           10.68    1.009+0.000j
      4.6701040        0.940000          419.37           13.90         0.04596           10.92    1.004+0.000j
      4.6701040        0.950000          428.72           13.88         0.04602           11.17    1.033+0.000j
      4.6701040        0.960000          438.21           13.88         0.04609           11.35    1.014+0.000j
      4.6701040        0.970000          447.84           13.89         0.04616           11.59    1.000+0.000j
      4.6701040        0.980000          457.61           13.90         0.04623           11.79    1.023+0.000j
      4.6701040        0.990000          467.51           13.92         0.04630           12.10    1.026+0.000j
      4.6701059        0.000000          481.58          354.52         0.03855            0.59    1.037+0.000j
      4.6701059        0.010000          469.31          342.21         0.03869            0.49    1.000+0.000j
      4.6701059        0.020000          457.10          329.91         0.03883            0.41    1.005+0.000j
      4.6701059        0.030000          444.97          317.62         0.03897            0.33    1.007+0.000j
      4.6701059        0.040000          432.95          305.40         0.03912            0.27    1.020+0.000j
      4.6701059        0.050000          421.03          293.22         0.03926            0.22    1.053+0.000j
      4.6701059        0.060000          409.25          281.12         0.03942            0.19    1.000+0.000j
      4.6701059        0.070000          397.61          269.13         0.03959            0.17    1.013+0.000j
      4.6701059        0.080000          386.14          257.27         0.03967            0.16    1.122+0.000j
      4.6701059        0.090000          374.86          245.58         0.03986            0.17    1.002+0.000j
      4.6701059        0.100000          363.78          234.09         0.04002            0.19    1.018+0.000j
      4.6701059        0.110000          352.92          222.84         0.04014            0.22    1.002+0.000j
      4.6701059        0.120000          342.30          211.84         0.04030            0.27    1.003+0.000j
