             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.7269802        4.576000          236.58           39.10         0.00339           12.47   10.000+0.000j
      4.7269802        4.588000          241.61           38.77         0.00346           12.69   10.000+0.000j
      4.7269802        4.600000          246.83           38.48         0.00353           12.91   10.000+0.000j
      4.7269802        4.612000          252.23           38.21         0.00361           13.12    9.998+0.000j
      4.7269802        4.624000          257.83           37.98         0.00369           13.35    9.999+0.000j
      4.7269802        4.636000          263.61           37.77         0.00376           13.53   10.000+0.000j
      4.7269802        4.648000          269.57           37.59         0.00384           13.76    9.999+0.000j
      4.7269802        4.660000          275.72           37.44         0.00392           13.96   10.000+0.000j
      4.7269802        4.672000          282.05           37.32         0.00400           14.16   10.000+0.000j
      4.7269802        4.684000          288.56           37.23         0.00409           14.35   10.000+0.000j
      4.7269802        4.696000          295.24           37.17         0.00417           14.53    9.999+0.000j
      4.7269802        4.708000          302.11           37.14         0.00425           14.72   10.000+0.000j
      4.7269802        4.720000          309.15           37.13         0.00434           14.88   10.000+0.000j
      4.7269802        4.732000          316.35           37.16         0.00443           15.04   10.000+0.000j
      4.7269802        4.744000          323.73           37.21         0.00452           15.20   10.000+0.000j
      4.7269802        4.756000          331.27           37.29         0.00461           15.35    9.999+0.000j
      4.7269802        4.768000          338.98           37.40         0.00470           15.48   10.000+0.000j
      4.7269802        4.780000          346.84           37.54         0.00479           15.60    9.999+0.000j
      4.7269802        4.792000          354.85           37.71         0.00488           15.72   10.000+0.000j
      4.7269802        4.804000          363.01           37.91         0.00498           15.82    9.999+0.000j
      4.7269802        4.816000          371.32           38.14         0.00508           15.91    9.999+0.000j
      4.7269802        4.828000          379.77           38.40         0.00517           15.98    9.999+0.000j
      4.7269802        4.840000          388.36           38.69         0.00527           16.07   10.000+0.000j
      4.7269802        4.852000          397.08           39.00         0.00537           16.12   10.000+0.000j
      4.7269802        4.864000          405.92           39.35         0.00547           16.17   10.000+0.000j
      4.7269802        4.876000          414.89           39.73         0.00557           16.20   10.000+0.000j
      4.7269802        4.888000          423.97           40.14         0.00567           16.23   10.000+0.000j
      4.7269802        4.900000          433.16           40.58         0.00577           16.24    9.999+0.000j
      4.7269802        4.912000          442.46           41.04         0.00588           16.24   10.000+0.000j
      4.7269802        4.924000          451.86           41.54         0.00598           16.23   10.000+0.000j
      4.7269802        4.936000          461.35           42.08         0.00609           16.20   10.000+0.000j
      4.7269802        4.948000          470.94           42.64         0.00619           16.18   10.000+0.000j
      4.7269802        4.960000          480.60           43.23         0.00630           16.14    9.998+0.000j
      4.7269802        4.972000          490.34           43.86         0.00640           16.09   10.000+0.000j
      4.7269802        4.984000          500.16           44.52         0.00651           16.03    9.999+0.000j
      4.7269802        4.996000          510.04           45.21         0.00662           15.96   10.000+0.000j
      4.7269802        5.008000          519.99           45.94         0.00673           15.89   10.000+0.000j
      4.7269802        5.020000          529.99           46.69         0.00684           15.80   10.000+0.000j
      4.7269802        5.032000          540.04           47.48         0.00695           15.71   10.000+0.000j
      4.7269802        5.044000          550.13           48.31         0.00706           15.61    9.999+0.000j
      4.7269802        5.056000          560.26           49.17         0.00717           15.51   10.000+0.000j
      4.7269802        5.068000          570.43           50.06         0.00728           15.40    9.999+0.000j
      4.7269802        5.080000          580.63           50.98         0.00737           15.36   10.000+0.000j
      4.7269802        5.092000          590.85           51.95         0.00750           15.16   10.000+0.000j
      4.7269802        5.104000          601.09           52.95         0.00761           15.03   10.000+0.000j
      4.7269802        5.116000          611.34           53.98         0.00772           14.88   10.000+0.000j
      4.7269802        5.128000          621.61           55.05         0.00783           14.75    9.999+0.000j
      4.7269802        5.140000          631.87           56.15         0.00794           14.62   10.000+0.000j
      4.7269802        5.152000          642.14           57.29         0.00805           14.48    9.999+0.000j
      4.7269802        5.164000          652.41           58.47         0.00816           14.35   10.000+0.000j
