             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay
      4.6700535        0.180000          737.58          245.12         0.02814            3.24           6.332           0.000           0.000          28.112           0.000           1.526          10.310           0.000           0.000           0.000           0.000           4.247           0.000           0.000
      4.6700535        0.190000          731.67          239.72         0.02814            3.33           8.274           0.000           0.000          26.913           0.000           1.525          10.310           0.000           0.000           0.000           0.000           4.255           0.000           0.000
      4.6700535        0.200000          725.92          234.43         0.02814            3.31           8.323           0.000           0.000          25.747           0.000           1.525          10.311           0.000           0.000           0.000           0.000           4.264           0.000           0.000
      4.6700535        0.210000          720.33          229.18         0.02814            3.39           9.845           0.000           0.000          24.619           0.000           1.526          10.310           0.000           0.000           0.000           0.000           4.274           0.000           0.000
      4.6700535        0.220000          714.92          224.06         0.02814            3.45           8.075           0.000           0.000          23.523           0.000           1.525          10.311           0.000           0.000           0.000           0.000           4.283           0.000           0.000
      4.6700535        0.230000          709.67          219.02         0.02814            3.51           9.384           0.000           0.000          22.462           0.000           1.525          10.311           0.000           0.000           0.000           0.000           4.292           0.000           0.000
      4.6700535        0.240000          704.74          214.20         0.02816            5.52           5.962           0.000           0.000          21.400           0.000           1.527          10.313           0.000           0.000           0.000           0.000           4.293           0.000           0.000
      4.6700535        0.250000          699.69          209.25         0.02814            3.63           3.595           0.000           0.000          20.449           0.000           1.537          10.313           0.000           0.000           0.000           0.000           4.312           0.000           0.000
      4.6700535        0.260000          694.95          204.49         0.02815            3.67           9.260           0.000           0.000          19.498           0.000           1.525          10.313           0.000           0.000           0.000           0.000           4.322           0.000           0.000
      4.6700535        0.270000          690.40          199.60         0.02815            3.65           8.637           0.000           0.000          18.611           0.000           1.525          10.313           0.000           0.000           0.000           0.000           4.337           0.000           0.000
      4.6700535        0.280000          686.04          195.28         0.02815            3.79           2.599           0.000           0.000          17.703           0.000           1.545          10.313           0.000           0.000           0.000           0.000           4.342           0.000           0.000
      4.6700535        0.290000          681.82          190.75         0.02814            3.77           9.959           0.000           0.000          16.867           0.000           1.526          10.314           0.000           0.000           0.000           0.000           4.354           0.000           0.000
      4.6700535        0.300000          677.82          186.43         0.02815            3.91           2.876           0.000           0.000          16.051           0.000           1.542          10.314           0.000           0.000           0.000           0.000           4.364           0.000           0.000
      4.6700535        0.310000          673.97          182.26         0.02815            3.99           3.267           0.000           0.000          15.264           0.000           1.539          10.315           0.000           0.000           0.000           0.000           4.373           0.000           0.000
      4.6700535        0.320000          670.34          178.29         0.02815            4.01           1.150           0.000           0.000          14.501           0.000           1.567          10.312           0.000           0.000           0.000           0.000           4.381           0.000           0.000
      4.6700535        0.330000          666.82          174.06         0.02813            4.08           6.608           0.000           0.000          13.807           0.000           1.526          10.317           0.000           0.000           0.000           0.000           4.396           0.000           0.000
      4.6700535        0.340000          663.55          170.11         0.02815            4.14           1.007           0.000           0.000          13.126           0.000           1.571          10.313           0.000           0.000           0.000           0.000           4.407           0.000           0.000
      4.6700535        0.350000          660.40          166.31         0.02815            4.18           4.278           0.000           0.000          12.470           0.000           1.533          10.317           0.000           0.000           0.000           0.000           4.418           0.000           0.000
      4.6700535        0.360000          657.45          162.30         0.02815            4.30           6.133           0.000           0.000          11.872           0.000           1.527          10.318           0.000           0.000           0.000           0.000           4.433           0.000           0.000
      4.6700535        0.370000          654.69          159.24         0.02815            4.31           8.779           0.000           0.000          11.222           0.000           1.525          10.318           0.000           0.000           0.000           0.000           4.435           0.000           0.000
      4.6700535        0.380000          652.10          155.27         0.02816            4.81           7.578           0.000           0.000          10.690           0.000           1.525          10.319           0.000           0.000           0.000           0.000           4.452           0.000           0.000
      4.6700535        0.390000          649.70          151.86         0.02815            4.45           3.532           0.000           0.000          10.151           0.000           1.537          10.319           0.000           0.000           0.000           0.000           4.464           0.000           0.000
      4.6700535        0.400000          647.47          148.50         0.02815            4.50           2.084           0.000           0.000           9.636           0.000           1.551          10.317           0.000           0.000           0.000           0.000           4.476           0.000           0.000
      4.6700535        0.410000          645.39          145.23         0.02816            4.57           8.470           0.000           0.000           9.145           0.000           1.525          10.319           0.000           0.000           0.000           0.000           4.488           0.000           0.000
      4.6700535        0.420000          643.51          142.05         0.02816            4.67           9.549           0.000           0.000           8.678           0.000           1.526          10.319           0.000           0.000           0.000           0.000           4.500           0.000           0.000
      4.6700535        0.430000          641.81          138.99         0.02816            4.74           2.608           0.000           0.000           8.231           0.000           1.545          10.319           0.000           0.000           0.000           0.000           4.512           0.000           0.000
      4.6700535        0.440000          640.27          136.14         0.02815            4.52           5.332           0.000           0.000           7.801           0.000           1.529          10.322           0.000           0.000           0.000           0.000           4.524           0.000           0.000
      4.6700535        0.450000          638.89          133.08         0.02816            4.82           4.900           0.000           0.000           7.406           0.000           1.531          10.322           0.000           0.000           0.000           0.000           4.538           0.000           0.000
      4.6700535        0.460000          637.70          130.31         0.02816            4.87           4.644           0.000           0.000           7.020           0.000           1.532          10.322           0.000           0.000           0.000           0.000           4.550           0.000           0.000
      4.6700535        0.470000          636.66          127.53         0.02816            4.95           6.741           0.000           0.000           6.660           0.000           1.526          10.323           0.000           0.000           0.000           0.000           4.563           0.000           0.000
      4.6700535        0.480000          635.80          124.86         0.02816            5.01           7.986           0.000           0.000           6.315           0.000           1.525          10.323           0.000           0.000           0.000           0.000           4.576           0.000           0.000
      4.6700535        0.490000          635.10          122.30         0.02815            5.06           7.817           0.000           0.000           5.986           0.000           1.525          10.323           0.000           0.000           0.000           0.000           4.589           0.000           0.000
